GSP,N_Questions,Accuracy_Binary,Accuracy_3Class,AUCROC,AUCPR
1_BigValley_DraftGSP,50,0.8,0.58,0.7751,0.6519
2_EelRiver_DraftGSP,50,0.8,0.56,0.839,0.6088
3_Yolo_DraftGSP,51,0.9216,0.6667,0.9474,0.8824
4_SouthAmerican_DraftGSP,48,0.625,0.6042,0.6554,0.6645
5_Colusa_DraftGSP,51,0.6667,0.5686,0.6675,0.6918
6_NorthAmerica_DraftGSP,51,0.6863,0.5294,0.6955,0.6253
7_Vina_DraftGSP,51,0.7843,0.6667,0.8175,0.7574
8_LosMolinos_DraftGSP,48,0.8125,0.7083,0.7884,0.7743
9_Solano_DraftGSP,48,0.6875,0.6667,0.7625,0.8393
10_Sutter_DraftGSP,51,0.6471,0.5882,0.6714,0.6437
11_Butte_DraftGSP,48,0.75,0.5833,0.7578,0.7147
12_Cosumnes_DraftGSP,51,0.7059,0.5686,0.7116,0.731
13_Tracy_DraftGSP,48,0.875,0.6875,0.8908,0.8299
14_EastContraCosta_DraftGSP,45,0.7111,0.6,0.6789,0.6382
15_Fillmore_DraftGSP,49,0.8367,0.5918,0.8588,0.7992
16_Piru_DraftGSP,47,0.7872,0.5745,0.819,0.7369
17_Mound_DraftGSP,49,0.8163,0.6939,0.7891,0.5789
18_Shasta_DraftGSP,51,0.7647,0.5882,0.7621,0.7571
19_SierraValley_DraftGSP,50,0.72,0.64,0.766,0.7484
20_ButteValley_DraftGSP,51,0.7843,0.6667,0.8056,0.7333
22_SanGorgonioPass_DraftGSP,50,0.88,0.74,0.8671,0.7667
23_SantaMonica_DraftGSP,48,0.8542,0.5833,0.875,0.6591
25_ElsinoreVally _DraftGSP,51,0.8824,0.6863,0.9068,0.801
26_NorthSanBenito_DraftGSP,50,0.84,0.64,0.8578,0.7347
27_TuleLake_DraftGSP,48,0.8125,0.625,0.7794,0.7112
29_NapaValley_DraftGSP,50,0.66,0.58,0.6291,0.6759
30_SonomaValley_DraftGSP,47,0.7872,0.7021,0.7949,0.8225
31_OjaiValley_DraftGSP,42,0.6905,0.6429,0.7055,0.6829
32_PetalumaValley_DraftGSP,47,0.6383,0.5319,0.6685,0.6795
33_Anderson_DraftGSP,51,0.6471,0.5294,0.6869,0.5991
34_Enterprise_DraftGSP,47,0.7021,0.5319,0.7186,0.6736
35_Antelope_DraftGSP,50,0.86,0.7,0.7923,0.7886
36_Corning_DraftGSP,50,0.62,0.56,0.6158,0.5909
37_RedBluff_DraftGSP,51,0.8039,0.6275,0.7815,0.7066
38_WyandotteCreek_DraftGSP,51,0.6863,0.5686,0.6827,0.6378
39_EastSideAquifer_DraftGSP,47,0.5957,0.4043,0.6357,0.5505
40_Langley_DraftGSP,47,0.6809,0.4894,0.7655,0.6905
41_ForebayAquifer_DraftGSP,48,0.7083,0.5833,0.767,0.6866
42_Monterey_DraftGSP,47,0.7021,0.5106,0.7387,0.7266
43_UpperValley_DraftGSP,47,0.7234,0.5319,0.7905,0.7088
44_SanAntonioCreekValley_DraftGSP,47,0.766,0.6383,0.7802,0.7228
45_SanJacinto_DraftGSP,48,0.8542,0.6042,0.8647,0.71
46_Modesto_DraftGSP,49,0.8163,0.7347,0.8529,0.8438
47_Turlock_DraftGSP,48,0.7292,0.6458,0.7593,0.7929
48_PleasantValley_DraftGSP,47,0.8298,0.6383,0.7705,0.5691
49_WhiteWolf_DraftGSP,49,0.7959,0.6531,0.799,0.7276
50_SanLuisObispoValley_DraftGSP,50,0.66,0.54,0.7183,0.5771
51_UpperSanLuisReyValley_DraftGSP,50,0.94,0.7,0.936,0.8407
52_SanPasqual_DraftGSP,45,0.8222,0.7111,0.8615,0.7022
53_SantaClaraRiverValleyEast_DraftGSP,49,0.7347,0.5918,0.7128,0.6039
54_EastBayPlain_DraftGSP,47,0.6383,0.4894,0.5688,0.5006
55_SantaMargarita_DraftGSP,50,0.74,0.62,0.7835,0.7572
56_SantaRosaPlain_DraftGSP,50,0.8,0.72,0.83,0.8252
57_SantaYnezRiverValleyWestern_DraftGSP,47,0.7872,0.617,0.7716,0.7068
58_SantaYnezRiverValleyCentral_DraftGSP,46,0.8043,0.6304,0.8358,0.7378
59_SantaYnezRiverValleyEastern_DraftGSP,50,0.74,0.64,0.748,0.6274
60_ScottRiverValley_DraftGSP,50,0.64,0.48,0.685,0.5432
61_Ukiah_DraftGSP,51,0.6863,0.549,0.7185,0.6475
62_Yucapia_DraftGSP,47,0.8298,0.5745,0.8333,0.6529
63_Temescal_DraftGSP,47,0.7021,0.5106,0.6345,0.4922
64_UpperVentura_DraftGSP,50,0.74,0.56,0.7903,0.7461
65_BigValley(LakeCounty)_DraftGSP,50,0.88,0.72,0.7971,0.8028
