GSP_ID,GSP,Human Answers,Rocs_gpt41_ft_ftgsps_20260426_095614
11,Butte,Somewhat,0.15000000000000002
11,Butte,Somewhat,0.15000000000000002
11,Butte,Somewhat,0.15000000000000002
11,Butte,NotApplicable,0.15000000000000002
11,Butte,Somewhat,0.15000000000000002
11,Butte,Yes,0.85
11,Butte,No,0.15000000000000002
11,Butte,Yes,0.85
11,Butte,Somewhat,0.15000000000000002
11,Butte,No,0.15000000000000002
11,Butte,No,0.85
11,Butte,No,0.15000000000000002
11,Butte,Yes,0.15000000000000002
11,Butte,Yes,0.85
11,Butte,Yes,0.85
11,Butte,No,0.85
11,Butte,Yes,0.85
11,Butte,Yes,0.85
11,Butte,Yes,0.85
11,Butte,Yes,0.85
11,Butte,Somewhat,0.15000000000000002
11,Butte,Somewhat,0.15000000000000002
11,Butte,Somewhat,0.15000000000000002
11,Butte,Yes,0.85
11,Butte,Somewhat,0.85
11,Butte,No,0.15000000000000002
11,Butte,NotApplicable,0.15000000000000002
11,Butte,Somewhat,0.15000000000000002
11,Butte,No,0.15000000000000002
11,Butte,No,0.15000000000000002
11,Butte,NotApplicable,0.15000000000000002
11,Butte,No,0.15000000000000002
11,Butte,Somewhat,0.15000000000000002
11,Butte,Somewhat,0.15000000000000002
11,Butte,Yes,0.85
11,Butte,No,0.15000000000000002
11,Butte,Yes,0.85
11,Butte,Yes,0.85
11,Butte,Yes,0.85
11,Butte,No,0.15000000000000002
11,Butte,No,0.15000000000000002
11,Butte,Somewhat,0.15000000000000002
11,Butte,No,0.15000000000000002
11,Butte,Somewhat,0.15000000000000002
11,Butte,Yes,0.15000000000000002
11,Butte,Yes,0.85
11,Butte,Somewhat,0.85
11,Butte,No,0.15000000000000002
11,Butte,Somewhat,0.85
11,Butte,No,0.15000000000000002
11,Butte,Somewhat,0.15000000000000002
55,Santa Margarita,Somewhat,0.15000000000000002
55,Santa Margarita,Somewhat,0.15000000000000002
55,Santa Margarita,Somewhat,0.15000000000000002
55,Santa Margarita,No,0.15000000000000002
55,Santa Margarita,Somewhat,0.15000000000000002
55,Santa Margarita,Yes,0.85
55,Santa Margarita,Yes,0.85
55,Santa Margarita,Yes,0.85
55,Santa Margarita,Somewhat,0.85
55,Santa Margarita,Somewhat,0.15000000000000002
55,Santa Margarita,Somewhat,0.15000000000000002
55,Santa Margarita,Somewhat,0.85
55,Santa Margarita,Somewhat,0.15000000000000002
55,Santa Margarita,NotApplicable,0.15000000000000002
55,Santa Margarita,Yes,0.85
55,Santa Margarita,No,0.15000000000000002
55,Santa Margarita,Yes,0.85
55,Santa Margarita,Yes,0.85
55,Santa Margarita,Yes,0.85
55,Santa Margarita,Yes,0.85
55,Santa Margarita,Somewhat,0.85
55,Santa Margarita,Yes,0.15000000000000002
55,Santa Margarita,Yes,0.85
55,Santa Margarita,Yes,0.85
55,Santa Margarita,Yes,0.85
55,Santa Margarita,No,0.15000000000000002
55,Santa Margarita,No,0.15000000000000002
55,Santa Margarita,Yes,0.85
55,Santa Margarita,No,0.85
55,Santa Margarita,No,0.15000000000000002
55,Santa Margarita,No,0.15000000000000002
55,Santa Margarita,No,0.15000000000000002
55,Santa Margarita,No,0.15000000000000002
55,Santa Margarita,No,0.15000000000000002
55,Santa Margarita,Yes,0.85
55,Santa Margarita,Yes,0.85
55,Santa Margarita,Somewhat,0.15000000000000002
55,Santa Margarita,No,0.15000000000000002
55,Santa Margarita,Yes,0.85
55,Santa Margarita,No,0.15000000000000002
55,Santa Margarita,No,0.15000000000000002
55,Santa Margarita,Somewhat,0.15000000000000002
55,Santa Margarita,No,0.15000000000000002
55,Santa Margarita,Yes,0.85
55,Santa Margarita,Yes,0.85
55,Santa Margarita,Somewhat,0.85
55,Santa Margarita,Yes,0.85
55,Santa Margarita,No,0.15000000000000002
55,Santa Margarita,No,0.15000000000000002
55,Santa Margarita,No,0.85
55,Santa Margarita,Somewhat,0.15000000000000002
