GSP_ID,GSP,Human Answers,Rocs_opus47_vision_bigvalley_20260423_165951
1,BigValley,Somewhat,0.4
1,BigValley,Somewhat,0.25
1,BigValley,Somewhat,0.25
1,BigValley,Somewhat,0.15000000000000002
1,BigValley,Somewhat,0.15000000000000002
1,BigValley,Yes,0.85
1,BigValley,No,0.25
1,BigValley,Yes,0.4
1,BigValley,Somewhat,0.85
1,BigValley,Somewhat,0.25
1,BigValley,No,0.15000000000000002
1,BigValley,No,0.4
1,BigValley,No,0.4
1,BigValley,NotApplicable,0.4
1,BigValley,Yes,0.4
1,BigValley,No,0.4
1,BigValley,Yes,0.75
1,BigValley,Yes,0.4
1,BigValley,Yes,0.4
1,BigValley,No,0.15000000000000002
1,BigValley,Somewhat,0.15000000000000002
1,BigValley,No,0.15000000000000002
1,BigValley,No,0.15000000000000002
1,BigValley,No,0.15000000000000002
1,BigValley,No,0.25
1,BigValley,No,0.15000000000000002
1,BigValley,No,0.15000000000000002
1,BigValley,No,0.25
1,BigValley,No,0.15000000000000002
1,BigValley,No,0.4
1,BigValley,No,0.15000000000000002
1,BigValley,No,0.4
1,BigValley,No,0.4
1,BigValley,Somewhat,0.25
1,BigValley,No,0.25
1,BigValley,No,0.4
1,BigValley,Yes,0.15000000000000002
1,BigValley,Yes,0.4
1,BigValley,Yes,0.4
1,BigValley,No,0.25
1,BigValley,No,0.15000000000000002
1,BigValley,Somewhat,0.25
1,BigValley,No,0.25
1,BigValley,Yes,0.6
1,BigValley,Yes,0.25
1,BigValley,Somewhat,0.85
1,BigValley,Somewhat,0.25
1,BigValley,No,0.15000000000000002
1,BigValley,No,0.25
1,BigValley,Somewhat,0.25
1,BigValley,Somewhat,0.15000000000000002
