GSP_ID,GSP,Human Answers,Rocs_opus47_vision_sanluisobispovalley_20260423_221713
50,San Luis Obispo,Yes,0.4
50,San Luis Obispo,Somewhat,0.25
50,San Luis Obispo,Yes,0.4
50,San Luis Obispo,Somewhat,0.4
50,San Luis Obispo,Somewhat,0.25
50,San Luis Obispo,Yes,0.85
50,San Luis Obispo,Somewhat,0.15000000000000002
50,San Luis Obispo,Yes,0.25
50,San Luis Obispo,Yes,0.85
50,San Luis Obispo,Somewhat,0.15000000000000002
50,San Luis Obispo,No,0.25
50,San Luis Obispo,No,0.15000000000000002
50,San Luis Obispo,Somewhat,0.85
50,San Luis Obispo,NotApplicable,0.4
50,San Luis Obispo,Yes,0.85
50,San Luis Obispo,No,0.15000000000000002
50,San Luis Obispo,Yes,1.0
50,San Luis Obispo,Yes,0.4
50,San Luis Obispo,Yes,0.75
50,San Luis Obispo,No,0.25
50,San Luis Obispo,Somewhat,0.15000000000000002
50,San Luis Obispo,Somewhat,0.25
50,San Luis Obispo,Somewhat,0.85
50,San Luis Obispo,No,0.85
50,San Luis Obispo,Yes,0.4
50,San Luis Obispo,No,0.25
50,San Luis Obispo,No,0.15000000000000002
50,San Luis Obispo,Somewhat,0.15000000000000002
50,San Luis Obispo,No,0.25
50,San Luis Obispo,No,0.25
50,San Luis Obispo,No,0.15000000000000002
50,San Luis Obispo,No,0.25
50,San Luis Obispo,Somewhat,0.4
50,San Luis Obispo,No,0.4
50,San Luis Obispo,Yes,0.85
50,San Luis Obispo,Somewhat,0.4
50,San Luis Obispo,Yes,0.15000000000000002
50,San Luis Obispo,No,0.15000000000000002
50,San Luis Obispo,No,0.25
50,San Luis Obispo,No,0.4
50,San Luis Obispo,No,0.4
50,San Luis Obispo,Somewhat,0.4
50,San Luis Obispo,No,0.15000000000000002
50,San Luis Obispo,Yes,0.15000000000000002
50,San Luis Obispo,Somewhat,0.85
50,San Luis Obispo,Somewhat,0.85
50,San Luis Obispo,Somewhat,0.25
50,San Luis Obispo,No,0.25
50,San Luis Obispo,No,0.4
50,San Luis Obispo,No,0.25
50,San Luis Obispo,Somewhat,0.15000000000000002
